FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.47433469,0b21030b-89a6-3439-28b8-a17c8ea5560c,POINT (-102.57446 40.13091),2018-07-02T08:42:00,314.4,288.7,0.38,0.36,1.3,night,,2018-07-02T12:45:18.095,2018-07-02T12:45:18.096
nasa_fire.47433468,a273eab9-d078-e18a-6e70-488e884fccac,POINT (-102.56912 40.13348),2018-07-02T08:42:00,310.1,288.9,0.38,0.36,3.2,night,,2018-07-02T12:45:18.089,2018-07-02T12:45:18.09
nasa_fire.47433467,cc0b1f4a-5a78-48f6-d5d2-265c70032c74,POINT (-102.57358 40.13419),2018-07-02T08:42:00,328.4,290.4,0.38,0.36,3.2,night,,2018-07-02T12:45:18.083,2018-07-02T12:45:18.083
nasa_fire.47433655,e954f3e3-88f2-a48d-23e4-72242bea3644,POINT (-105.11182 37.5993),2018-07-02T08:42:00,367,307.7,0.4,0.37,10.6,night,,2018-07-02T12:45:19.349,2018-07-02T12:45:19.349
nasa_fire.47433472,e5498918-72d5-e55a-a342-8409c9ae919f,POINT (-106.61588 40.56902),2018-07-02T08:42:00,330.4,284.7,0.46,0.39,5.5,night,,2018-07-02T12:45:18.114,2018-07-02T12:45:18.114
nasa_fire.47433473,f3935f55-702d-ecdd-0706-6d20007e6faa,POINT (-106.61058 40.56838),2018-07-02T08:42:00,325.8,279.7,0.46,0.39,5.5,night,,2018-07-02T12:45:18.12,2018-07-02T12:45:18.12
nasa_fire.47433636,88cb58cb-f3b1-fd5e-b9ab-c4304941947c,POINT (-105.12276 37.6112),2018-07-02T08:42:00,341.1,292.4,0.4,0.37,2.1,night,,2018-07-02T12:45:19.215,2018-07-02T12:45:19.216
nasa_fire.47433821,5cc5dfa5-c0a0-9dd3-f25a-319e212751fe,POINT (-107.8932 37.5583),2018-07-02T08:42:00,296.1,281.7,0.48,0.4,1.2,night,,2018-07-02T12:45:20.461,2018-07-02T12:45:20.461
nasa_fire.47433822,23b839c5-06b9-2a3b-5265-164312a089ef,POINT (-107.98159 37.56511),2018-07-02T08:42:00,300.9,282.5,0.49,0.4,0.9,night,,2018-07-02T12:45:20.467,2018-07-02T12:45:20.467
nasa_fire.47433823,0d752e1c-3ee1-b982-c1ef-ea3072731bcc,POINT (-107.989 37.5547),2018-07-02T08:42:00,308.4,284.7,0.49,0.4,1.1,night,,2018-07-02T12:45:20.474,2018-07-02T12:45:20.474
nasa_fire.47433824,93ac81d6-3add-4ea8-5a8a-de04d91d5f7c,POINT (-107.98367 37.55406),2018-07-02T08:42:00,296.5,281.7,0.49,0.4,1.1,night,,2018-07-02T12:45:20.483,2018-07-02T12:45:20.484
nasa_fire.47433825,a8f437d0-8449-50bb-0391-0cea284b9cce,POINT (-107.89634 37.54368),2018-07-02T08:42:00,298.8,282.7,0.48,0.4,1,night,,2018-07-02T12:45:20.49,2018-07-02T12:45:20.49
nasa_fire.47433826,dfbd7679-3580-b09b-fcad-b365cf525b48,POINT (-107.98962 37.55101),2018-07-02T08:42:00,302.1,280.1,0.49,0.4,1.1,night,,2018-07-02T12:45:20.497,2018-07-02T12:45:20.497
nasa_fire.47433711,b2966e7e-091d-18a0-c2cf-278d0c7ce002,POINT (-105.08094 37.44214),2018-07-02T08:42:00,307.8,283.9,0.4,0.37,4.8,night,,2018-07-02T12:45:19.708,2018-07-02T12:45:19.708
nasa_fire.47433712,d1a6a9b7-ca1a-7d68-df83-a81521198468,POINT (-105.08598 37.43943),2018-07-02T08:42:00,336,301.2,0.4,0.37,4.8,night,,2018-07-02T12:45:19.714,2018-07-02T12:45:19.714
nasa_fire.47433713,64184f56-74c0-a50b-b491-d6201075902f,POINT (-105.08162 37.4388),2018-07-02T08:42:00,332.6,292,0.4,0.37,4.8,night,,2018-07-02T12:45:19.72,2018-07-02T12:45:19.72
nasa_fire.47433720,748cbca7-71a6-eac8-b01b-ecdd13b73c0b,POINT (-105.09032 37.44005),2018-07-02T08:42:00,303.2,290.3,0.4,0.37,1.3,night,,2018-07-02T12:45:19.763,2018-07-02T12:45:19.763
nasa_fire.47433721,429cdb76-3048-a383-286d-878365e5a842,POINT (-105.08426 37.43735),2018-07-02T08:42:00,349.5,299.5,0.4,0.37,6.9,night,,2018-07-02T12:45:19.769,2018-07-02T12:45:19.769
nasa_fire.47433722,fb06e37b-2bf2-455f-6fbe-4f9588d3f649,POINT (-105.07989 37.43671),2018-07-02T08:42:00,323.6,287.5,0.4,0.37,6.9,night,,2018-07-02T12:45:19.783,2018-07-02T12:45:19.783
